rel_filepath,abs_filepath,note_exists,n_backlinks,n_wikilinks,n_tags,n_embedded_files,modified_time
020 ⭐ concepts/20.00 ⭐ concept cauldron/analysis paralysis.md,/home/leo/library/areas/obsidian/020 ⭐ concepts/20.00 ⭐ concept cauldron/analysis paralysis.md,True,1,0.0,0.0,0.0,2025-04-23 19:09:52.000000000
050 🛠 craft/50.03 🎮 game_dev/50.03 🌱 plantamata/🌾 core_concepts/world_gen.md,/home/leo/library/areas/obsidian/050 🛠 craft/50.03 🎮 game_dev/50.03 🌱 plantamata/🌾 core_concepts/world_gen.md,True,0,0.0,0.0,0.0,2024-08-24 14:58:16.000000000
050 🛠 craft/50.02 💜 dev/algorithms/algorithms.md,/home/leo/library/areas/obsidian/050 🛠 craft/50.02 💜 dev/algorithms/algorithms.md,True,1,3.0,0.0,1.0,2024-08-30 16:51:34.000000000
020 ⭐ concepts/20.00 ⭐ concept cauldron/Chaos Magic.md,/home/leo/library/areas/obsidian/020 ⭐ concepts/20.00 ⭐ concept cauldron/Chaos Magic.md,True,1,0.0,0.0,0.0,2025-04-15 20:52:30.000000000
060 🐆 business/60.02 🐆 job postings/job posts/palantir - product designer.md,/home/leo/library/areas/obsidian/060 🐆 business/60.02 🐆 job postings/job posts/palantir - product designer.md,True,0,0.0,0.0,0.0,2025-04-18 16:09:06.000000000
060 🐆 business/60.02 🐆 job postings/job posts/tesla - data engineer.md,/home/leo/library/areas/obsidian/060 🐆 business/60.02 🐆 job postings/job posts/tesla - data engineer.md,True,1,0.0,0.0,0.0,2025-04-18 16:02:42.000000000
050 🛠 craft/50.02 💜 dev/front-end/webGL.md,/home/leo/library/areas/obsidian/050 🛠 craft/50.02 💜 dev/front-end/webGL.md,True,1,0.0,0.0,0.0,2025-05-02 20:16:53.834275484
030 🚀 projects/30.00 🎸 inhaven/🌠 EP Release/refs.md,/home/leo/library/areas/obsidian/030 🚀 projects/30.00 🎸 inhaven/🌠 EP Release/refs.md,True,0,0.0,0.0,0.0,2025-03-23 11:55:38.000000000
020 ⭐ concepts/20.00 ⭐ concept cauldron/The Mask & The Authentic Self.md,/home/leo/library/areas/obsidian/020 ⭐ concepts/20.00 ⭐ concept cauldron/The Mask & The Authentic Self.md,True,1,1.0,0.0,0.0,2025-03-29 18:50:12.000000000
070 🌱 personal/70.02 🌱 concepts/the outlier genius.md,/home/leo/library/areas/obsidian/070 🌱 personal/70.02 🌱 concepts/the outlier genius.md,True,0,0.0,0.0,0.0,2025-04-20 12:40:46.000000000
050 🛠 craft/50.02 💜 dev/projects/arduino.md,/home/leo/library/areas/obsidian/050 🛠 craft/50.02 💜 dev/projects/arduino.md,True,1,0.0,0.0,0.0,2025-04-23 19:32:00.000000000
020 ⭐ concepts/20.00 ⭐ concept cauldron/how to learn.md,/home/leo/library/areas/obsidian/020 ⭐ concepts/20.00 ⭐ concept cauldron/how to learn.md,True,0,0.0,0.0,0.0,2024-08-26 11:44:40.000000000
050 🛠 craft/50.02 💜 dev/algorithms/time complexity.md,/home/leo/library/areas/obsidian/050 🛠 craft/50.02 💜 dev/algorithms/time complexity.md,True,1,0.0,0.0,1.0,2024-08-30 15:28:00.000000000
070 🌱 personal/70.05 🌱 travel/umbria - italy.md,/home/leo/library/areas/obsidian/070 🌱 personal/70.05 🌱 travel/umbria - italy.md,True,1,0.0,0.0,0.0,2025-04-23 18:07:40.000000000
,,False,1,,,,
,,False,1,,,,
